universityLabel,univlocationLabel,countryNameLabel,personLabel,pbornLabel,borncountryLabel,organizationLabel,orglocationLabel,orgcountryLabel,yearFounded
Uppsala University,Uppsala,Sweden,Carl Charlier,Östersunds församling,Sweden,Lund University,Lund,Sweden,1477
Uppsala University,Uppsala,Sweden,Bertil Lundman,Malmö,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Anders Gustaf Ekeberg,Hedvig Eleonora församling,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Sven Delblanc,Swan River,Canada,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Einar Gjerstad,Örebro,Sweden,Lund University,Lund,Sweden,1477
Uppsala University,Uppsala,Sweden,David Enskog,Västra Ämtervik,Sweden,Royal Institute of Technology,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Anders Jahan Retzius,Q10549200,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Erik Ivar Fredholm,Klara Parish,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Carl Charlier,Östersunds församling,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Sture Petrén,Oscars Assembly,Sweden,Stockholm School of Economics,Vasastaden,Sweden,1666
Uppsala University,Uppsala,Sweden,Knut Wicksell,Maria Magdalena parish,Sweden,Lund University,Lund,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Alfred Grenander,Skövde,Sweden,Royal Institute of Technology,Stockholm,Sweden,1827
Uppsala University,Uppsala,Sweden,Erik Gustaf Geijer,Ransäter,Sweden,Uppsala University,Uppsala,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Karl Johan Åström,Östersund,Sweden,Lund University,Lund,Sweden,1827
Stockholm University,Stockholm,Sweden,Ebba Witt-Brattström,Stockholm,Sweden,Södertörn University,Flemingsberg,Sweden,1878
Uppsala University,Uppsala,Sweden,Eli Heckscher,Stockholm,Sweden,Stockholm School of Economics,Vasastaden,Sweden,1477
Stockholm University,Stockholm,Sweden,Erik Ivar Fredholm,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Gustaf Oskar Andersson Malme,Q10681060,Sweden,Swedish Museum of Natural History,Norra Djurgården,Sweden,1477
Lund University,Lund,Sweden,Esaias Tegnér,By parish,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Anders Retzius,Lunds Cathedral Assembly,Sweden,Karolinska Institute,Stockholm,Sweden,1666
Uppsala University,Uppsala,Sweden,Gunnar Rudberg,Skaraborg County,Sweden,University of Oslo,Oslo,Norway,1477
Uppsala University,Uppsala,Sweden,Gustaf Oskar Andersson Malme,Q10681060,Sweden,Swedish Museum of Natural History,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Hugo von Zeipel,Q10728033,Sweden,Uppsala University,Uppsala,Sweden,1477
Stockholm University,Stockholm,Sweden,Germund Dahlquist,Uppsala,Sweden,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Clas Theodor Odhner,Q22988682,Sweden,Lund University,Lund,Sweden,1477
University of Gothenburg,Gothenburg,Sweden,Nick Bostrom,Helsingborg,Sweden,University of Oxford,Oxford,United Kingdom,1954
Uppsala University,Uppsala,Sweden,Elias Wessén,Q10562508,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Lars Fredrik Nilson,Q10671252,Sweden,Uppsala University,Uppsala,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Ewa Björling,Ekerö Municipality,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Uppsala University,Uppsala,Sweden,Knut Ångström,Uppsala Cathedral Assembly,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Christian Wilhelm Blomstrand,Q10718572,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Claes-Ingvar Lagerkvist,Nässjö,Sweden,Uppsala University,Uppsala,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Erik Ivar Fredholm,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1827
Uppsala University,Uppsala,Sweden,Clas Theodor Odhner,Q22988682,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Andreas Gyldenklou,Q10727789,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Hans Rausing,Gothenburg,Sweden,Stockholm School of Economics,Vasastaden,Sweden,1666
Lund University,Lund,Sweden,Erik Lindahl,Adolf Fredriks parish,Sweden,Uppsala University,Uppsala,Sweden,1666
Lund University,Lund,Sweden,Erik Lindahl,Adolf Fredriks parish,Sweden,University of Gothenburg,Gothenburg,Sweden,1666
Uppsala University,Uppsala,Sweden,Carl Axel Magnus Lindman,Halmstad,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Göran Therborn,Kalmar,Sweden,Lund University,Lund,Sweden,1666
Stockholm University,Stockholm,Sweden,Torbjörn Caspersson,Motala,Sweden,Karolinska Institute,Stockholm,Sweden,1878
